brand_name,generic_name,therapeutic_area,indication,sponsor,submission_date,recommendation_date,recommendation_type,rationale,document_link,extraction_date,report_title,category
Omvoh,Mirikizumab,Crohn’s disease,"For the treatment of adult patients with moderately to severely active Crohn’s disease who have had an inadequate response, loss of response, or were intolerant to either conventional therapy or a biologic treatment",Eli Lilly Canada Inc.,Not specified,Not specified,Reimburse with conditions,"Omvoh should only be covered according to reimbursement eligibility criteria used by each of the public drug plans for other advanced therapies for the treatment of adults with moderately to severely active CD who have had an inadequate response, a loss of response, or intolerance to either conventional therapy or a biologic treatment. Omvoh should only be reimbursed if it is prescribed according to the criteria used by each of the public drug plans for other advanced therapies and if the cost of Omvoh is reduced so it does not cost the drug programs more than the least costly available advanced therapy reimbursed for the treatment of adult patients with moderately to severely active CD.",https://www.cda-amc.ca/sites/default/files/DRR/2025/SR0880_Omvoh_FINAL_Recommendation.pdf,2025-10-01T15:22:29.493586,Recommendation and Reasons,Reimbursement Review Report
Omvoh,Mirikizumab,Crohn’s disease,"For the treatment of adult patients with moderately to severely active Crohn’s disease who have had an inadequate response, loss of response, or were intolerant to either conventional therapy or a biologic treatment",Eli Lilly Canada Inc.,Not specified,Not specified,Reimburse with conditions,"Omvoh should only be covered according to reimbursement eligibility criteria used by each of the public drug plans for other advanced therapies for the treatment of adults with moderately to severely active CD who have had an inadequate response, a loss of response, or intolerance to either conventional therapy or a biologic treatment. Omvoh should only be reimbursed if it is prescribed according to the criteria used by each of the public drug plans for other advanced therapies and if the cost of Omvoh is reduced so it does not cost the drug programs more than the least costly available advanced therapy reimbursed for the treatment of adult patients with moderately to severely active CD.",https://cda-amc.ca/sites/default/files/DRR/2025/SR0884-Recommendation.pdf,2025-10-01T15:22:37.711960,Recommendation and Reasons,Reimbursement Review Report
Rybrevant,Amivantamab,non–small cell lung cancer,"In combination with carboplatin and pemetrexed for the treatment of patients with locally advanced (not amenable to curative therapies) or metastatic non–small cell lung cancer with EGFR  exon 19 deletions or exon 21 L858R substitution mutations, whose disease has progressed on or after treatment with osimertinib",Janssen Inc.,Not specified,Not specified,Reimburse with conditions,"Rybrevant should only be covered to treat patients aged 18 years or older with tumours harbouring EGFR  exon 19 deletions or exon 21 L858R substitution mutations that have returned while on or after treatment with osimertinib, who are in relatively good health and have no active interstitial lung disease or unstable brain metastases. Rybrevant should only be reimbursed if it is prescribed by clinicians with expertise in treating NSCLC and its price is reduced.",https://cda-amc.ca/sites/default/files/DRR/2025/PC0393-Rybrevant_FINAL_Recommendation.pdf,2025-10-01T15:22:55.875391,Recommendations & Reasons,Reimbursement Review Report
Omvoh,Mirikizumab,Crohn’s disease,"For the treatment of adult patients with moderately to severely active Crohn’s disease who have had an inadequate response, loss of response, or were intolerant to either conventional therapy or a biologic treatment",Eli Lilly Canada Inc.,Not specified,Not specified,Reimburse with conditions,"Omvoh should only be covered according to reimbursement eligibility criteria used by each of the public drug plans for other advanced therapies for the treatment of adults with moderately to severely active CD who have had an inadequate response, a loss of response, or intolerance to either conventional therapy or a biologic treatment. Omvoh should only be reimbursed if it is prescribed according to the criteria used by each of the public drug plans for other advanced therapies and if the cost of Omvoh is reduced so it does not cost the drug programs more than the least costly available advanced therapy reimbursed for the treatment of adult patients with moderately to severely active CD.",https://cda-amc.ca/sites/default/files/DRR/2025/PC0400-Verzenio_FINAL_Recommendation.pdf,2025-10-01T15:23:10.002240,Recommendation and Reasons,Reimbursement Review Report
Omvoh,Mirikizumab,Crohn’s disease,"For the treatment of adult patients with moderately to severely active Crohn’s disease who have had an inadequate response, loss of response, or were intolerant to either conventional therapy or a biologic treatment",Eli Lilly Canada Inc.,Not specified,Not specified,Reimburse with conditions,"Omvoh should only be covered according to reimbursement eligibility criteria used by each of the public drug plans for other advanced therapies for the treatment of adults with moderately to severely active CD who have had an inadequate response, a loss of response, or intolerance to either conventional therapy or a biologic treatment. Omvoh should only be reimbursed if it is prescribed according to the criteria used by each of the public drug plans for other advanced therapies and if the cost of Omvoh is reduced so it does not cost the drug programs more than the least costly available advanced therapy reimbursed for the treatment of adult patients with moderately to severely active CD.",https://cda-amc.ca/sites/default/files/DRR/2025/PC0398-Tagrisso_Recommendation.pdf,2025-10-01T15:23:21.497581,Recommendation and Reasons,Reimbursement Review Report
Omvoh,Mirikizumab,Crohn’s disease,"For the treatment of adult patients with moderately to severely active Crohn’s disease who have had an inadequate response, loss of response, or were intolerant to either conventional therapy or a biologic treatment",Eli Lilly Canada Inc.,Not specified,2025-09,Reimburse with conditions,"Omvoh should only be covered according to reimbursement eligibility criteria used by each of the public drug plans for other advanced therapies for the treatment of adults with moderately to severely active CD who have had an inadequate response, a loss of response, or intolerance to either conventional therapy or a biologic treatment. Omvoh should only be reimbursed if it is prescribed according to the criteria used by each of the public drug plans for other advanced therapies and if the cost of Omvoh is reduced so it does not cost the drug programs more than the least costly available advanced therapy reimbursed for the treatment of adult patients with moderately to severely active CD.",https://cda-amc.ca/sites/default/files/DRR/2025/PC0409-Verzenio-fulvestrant_FINAL_Rec.pdf,2025-10-01T15:23:37.384141,Recommendation and Reasons,Reimbursement Review Report
Omvoh,Mirikizumab,Crohn’s disease,"For the treatment of adult patients with moderately to severely active Crohn’s disease who have had an inadequate response, loss of response, or were intolerant to either conventional therapy or a biologic treatment",Eli Lilly Canada Inc.,Not specified,Not specified,Reimburse with conditions,"Omvoh should only be covered according to reimbursement eligibility criteria used by each of the public drug plans for other advanced therapies for the treatment of adults with moderately to severely active CD who have had an inadequate response, a loss of response, or intolerance to either conventional therapy or a biologic treatment. Omvoh should only be reimbursed if it is prescribed according to the criteria used by each of the public drug plans for other advanced therapies and if the cost of Omvoh is reduced so it does not cost the drug programs more than the least costly available advanced therapy reimbursed for the treatment of adult patients with moderately to severely active CD.",https://www.cda-amc.ca/sites/default/files/DRR/2025/SR0882-Tremfya_FINAL_Recommendation.pdf,2025-10-01T15:23:46.263852,Recommendation and Reasons,Reimbursement Review Report
Omvoh,Mirikizumab,Crohn’s disease,"For the treatment of adult patients with moderately to severely active Crohn’s disease who have had an inadequate response, loss of response, or were intolerant to either conventional therapy or a biologic treatment",Eli Lilly Canada Inc.,Not specified,Not specified,Reimburse with conditions,"Omvoh should only be covered according to reimbursement eligibility criteria used by each of the public drug plans for other advanced therapies for the treatment of adults with moderately to severely active CD who have had an inadequate response, a loss of response, or intolerance to either conventional therapy or a biologic treatment. Omvoh should only be reimbursed if it is prescribed according to the criteria used by each of the public drug plans for other advanced therapies and if the cost of Omvoh is reduced so it does not cost the drug programs more than the least costly available advanced therapy reimbursed for the treatment of adult patients with moderately to severely active CD.",https://cda-amc.ca/sites/default/files/DRR/2025/SR0811-Longavo_FINAL_Recommendation.pdf,2025-10-01T15:23:53.950088,Recommendation and Reasons,Reimbursement Review Report
Omvoh,Mirikizumab,Crohn’s disease,"For the treatment of adult patients with moderately to severely active Crohn’s disease who have had an inadequate response, loss of response, or were intolerant to either conventional therapy or a biologic treatment",Eli Lilly Canada Inc.,Not specified,2025-09,Reimburse with conditions,"Omvoh should only be covered according to reimbursement eligibility criteria used by each of the public drug plans for other advanced therapies for the treatment of adults with moderately to severely active CD who have had an inadequate response, a loss of response, or intolerance to either conventional therapy or a biologic treatment. Omvoh should only be reimbursed if it is prescribed according to the criteria used by each of the public drug plans for other advanced therapies and if the cost of Omvoh is reduced so it does not cost the drug programs more than the least costly available advanced therapy reimbursed for the treatment of adult patients with moderately to severely active CD.",https://www.cda-amc.ca/sites/default/files/DRR/2025/SR0885-Myfembree_FINAL_Recommendation.pdf,2025-10-01T15:24:09.451745,Recommendation and Reasons,Reimbursement Review Report
Imfinzi,Durvalumab,Lung Cancer,"As monotherapy, for the treatment of adult patients with limited-stage small cell lung cancer whose disease has not progressed following platinum-based chemoradiation therapy",AstraZeneca Canada Inc.,Not specified,Not specified,Reimburse with conditions,"Imfinzi should only be covered to treat adults with LS-SCLC (stage I to III) who have not experienced disease progression after receiving platinum-based CRT. Patients must have completed 4 cycles of CRT and must be in relatively good health (as measured by performance status). Imfinzi should only be reimbursed if it is prescribed as monotherapy , by a clinician with expertise in treating lung cancer and immunotherapy , and if the cost of Imfinzi is reduced. Treatment should be stopped if the cancer gets worse, its side effects become too severe, or after 24 months of therapy.",https://cda-amc.ca/sites/default/files/DRR/2025/PC0389-Imfinzi_Recommendation.pdf,2025-10-01T15:24:27.313718,Recommendation and Reason,Reimbursement Review Report
